Week,GeoCode,KPI,seasonality,base_price,acv_distribution,price_discount,feature,display,feature_display,video,audio,digital_display,search,OOH,PR,samples
2019-04-08,geo1,43.61035421,1.011210818,4.331909068,54.08466976,7.828965565,0,0,0,5.77012211,0,0,164.6865,0,0.008495565,0
2019-04-15,geo1,44.62582308,0.982411909,4.323329286,53.00780107,8.710319384,2.228590034,0,0,6.119044721,0,0,154.4494,0,0,0
2019-04-22,geo1,48.82057566,1.069780649,4.28726347,55.64340834,11.43473422,10.8830073,0,4.842942914,5.4495938,0,0,158.1449,0,3.584722204,0
2019-04-29,geo1,49.40305274,1.067825201,4.302548195,54.63228006,11.31392161,0,2.03986496,0,3.961314444,0,0,149.3095,0,0,0
2019-05-06,geo1,43.67653602,1.016148041,4.350261198,52.7522227,7.247245145,3.29584985,0,0,5.352619903,0,0,127.9007,0,0,0
2019-05-13,geo1,45.43848542,0.983749318,4.318441843,54.71802825,6.834085898,3.191940015,0,1.100495292,7.631753073,0,0,136.43880000000001,0,0.34619426,0
2019-05-20,geo1,45.206103000000006,1.003139964,4.323124336,54.16424154,5.994538489,1.763523168,0,0,6.856628796,0,0,142.8954,0,1.486875623,0
2019-05-27,geo1,42.26333522,0.957950929,4.3454443,53.75695475,7.787206759,4.687644602,0,0,7.19897669,0,0,160.01399999999998,0,4.334041203,0
2019-06-03,geo1,43.54226285,1.003429345,4.321149846,53.92633916,8.050948584,4.866855636,0,0,7.39158176,0,0,107.5538,0,0.382949896,0
2019-06-10,geo1,44.96420026,1.005390494,4.344535795,53.19098152,9.415444002,6.184315701,0,0,7.278779351,0,0,116.21929999999999,0,1.633103671,0
2019-06-17,geo1,43.8186456,0.986385034,4.307853932,52.94995682,8.325647372,9.406664564,0,4.366062114,6.727322479,0,0,135.7591,0,11.78494239,0
2019-06-24,geo1,41.690662020000005,0.967198579,4.29878387,51.76442567,8.314181052,1.337264329,0,0,6.235405072,0,0,114.18039999999999,0,4.643984464,0
2019-07-01,geo1,42.78895058,0.978548082,4.290102088,52.63344792,7.420289386,4.155031622,0,0,2.362064324,0,0,132.2759,0,28.76567869,0
2019-07-08,geo1,41.232955690000004,0.986184435,4.270810301,51.88010302,7.573659514,0,0,0,2.566580176,0,0,164.7715,0,8.522100145,0
2019-07-15,geo1,41.52388689,0.975533586,4.295804552,51.93629755,8.513727104,3.495993496,0,0,2.345944839,0,0,156.6157,0,0.382949896,0
2019-07-22,geo1,40.07004705,0.971528712,4.304765802,52.54495199,8.675943515,0.551369073,0,0,2.251767257,0,0,178.49179999999998,0,6.278685302,0
2019-07-29,geo1,40.28060851,0.994120393,4.287917065,52.6127624,9.048877529,2.316799055,0,0,1.774100735,0,0,163.6671,0,0.531400544,0
2019-08-05,geo1,43.93682166,1.021351315,4.27895322,52.81728299,10.3143698,3.261523388,0,0.834428695,2.770237551,0,0,166.4706,0,0,0
2019-08-12,geo1,44.153494939999995,1.022138354,4.269496076,52.98074233,9.150289805,4.08312319,0,1.667660916,2.176563669,0,0,162.775,0,12.79834899,0
2019-08-19,geo1,42.440794260000004,1.00913456,4.262977574,52.29410245,7.647322674,0,0,0,2.652219291,0,0,151.4334,0,10.12097136,0
2019-08-26,geo1,41.895785329999995,1.016399882,4.273971358,52.07280197,8.123691771,4.216788295,0,0,1.010850709,0,0,141.5361,0,27.31843971,0
2019-09-02,geo1,43.53889297,1.013337786,4.250190741,52.3527049,9.78225274,0,2.39952024,0,4.816184462,0,0,21.2,0,0,0
2019-09-09,geo1,45.74360895,1.026842684,4.261016163,53.07653572,11.33180799,4.894799718,0.809860856,0.782525535,4.380819481,0,0,0,0,0.743556457,0
2019-09-16,geo1,45.665086689999995,1.028375527,4.269628803,53.11062122,7.300961401,6.886947635,0.440051288,0,4.402052446,0,0,0,0,0.062256772,0
2019-09-23,geo1,44.06322105,1.007957575,4.26592788,52.74528646,9.075748453,2.212161966,4.147314242,2.251124876,4.607569925,0,0,0,0,7.741479662,0
2019-09-30,geo1,45.243880680000004,1.128786082,4.250769813,53.04322425,7.024360467,0.929499513,2.078340298,0,0.357225751,0,0,0,0,0.940617027,0
